id,category,article,version,description,trigger_words,weight,download_url,url
sd15_0001,asset,game_tree,v10,,"game icon institute, game icon",0.4-0.8,https://civitai.com/api/download/models/104627?type=Model&format=SafeTensor,https://civitai.com/models/97857/game-icon-research-institute-lora-tree
sd15_0002,asset,chinese_couplets,v10,,"ruanyi0140, text focus, Chinese character, red theme",1,https://civitai.com/api/download/models/315643?type=Model&format=SafeTensor,https://civitai.com/models/280290/chinese-couplets
sd15_0003,asset,food_dish,v10,,"game icon institute, game icon, food",0.5-0.8,https://civitai.com/api/download/models/113950?type=Model&format=SafeTensor,https://civitai.com/models/106112/game-iconfood
sd15_0004,asset,egypt_assets,v10,,"Egyptian_Icons, no humans, still life, gold, sparkle",,https://civitai.com/api/download/models/1481372?type=Model&format=SafeTensor,https://civitai.com/models/230019/egyptian-icons-fantasy-game-asset
sd15_0005,architecture,booth_concept,v10,,arwboothconcept,,https://civitai.com/api/download/models/138452?type=Model&format=SafeTensor,https://civitai.com/models/126595/kiosk-booth-concept
sd15_0006,architecture,gmic_building,v10,,"Game Icon Institute, Game Icon",0.4-0.8,https://civitai.com/api/download/models/102892?type=Model&format=SafeTensor,https://civitai.com/models/96325/gameiconresearchgfjzlora
sd15_0007,architecture,modern_apartment,v10,,mabuilding,,https://civitai.com/api/download/models/72398?type=Model&format=SafeTensor,https://civitai.com/models/67729/modern-apartment-buildinglora
sd15_0008,architecture,brusArch_apartment,v10,,"brus, apartment building",,https://civitai.com/api/download/models/92175?type=Model&format=SafeTensor,https://civitai.com/models/86666/brusarch-modern-architecture-model
sd15_0009,architecture,colorplane_design,v20,,,0.5-1.3,https://civitai.com/api/download/models/67228?type=Model&format=SafeTensor,https://civitai.com/models/52997/xsarchi110colorplane
sd15_0010,architecture,masterplane_render,v10,"a plan of a city with lots of buildings and a lot of trees in it, and a lot of parking lots",aargsitemap/aargdetailmap,,https://civitai.com/api/download/models/102951?type=Model&format=SafeTensor,https://civitai.com/models/96386/aargmasterplan-render
sd15_0011,architecture,ancient_chinese_gugong,v10,,,,https://civitai.com/api/download/models/22164?type=Model&format=SafeTensor&size=full&fp=fp16,https://civitai.com/models/18679
sd15_0012,architecture,ancient_chinese_chengqiang,v10,,chengqiang,,https://civitai.com/api/download/models/22612?type=Model&format=SafeTensor&size=full&fp=fp16,https://civitai.com/models/18679?modelVersionId=22612
sd15_0013,architecture,town_house,v10,,townhouse,,https://civitai.com/api/download/models/144623?type=Model&format=SafeTensor,https://civitai.com/models/131561
sd15_0014,architecture,tropical_house,,,,,https://drive.google.com/file/d/1hzy51ep86PXtrXAdAgCFwdHKkMFBweyH/view,
