id,category,article,version,description,trigger_words,weight,download_url,url
sdxl_0001,architecture,booth_concept,v10,,"theme,realistic,3d,c4d rendering,spotlight,shining,shadows,booth",0.7-1,https://civitai.com/api/download/models/227017?type=Model&format=SafeTensor,https://civitai.com/models/201687/sdxlbooths-for-e-commerce-or-dataset
sdxl_0002,art,papercut,v10,,papercut,,https://civitai.com/api/download/models/133503?type=Model&format=SafeTensor,https://civitai.com/models/122567/papercut-sdxl
sdxl_0003,art,paper_quillinh,v40,,"yanzhi,paper quilling",,https://civitai.com/api/download/models/135020?type=Model&format=SafeTensor,https://civitai.com/models/121009/papercut-sdxl-paper-quilling
sdxl_0004,artist,salvador_dali,v10,,d4lixl,0.75-1.4,https://civitai.com/api/download/models/129147?type=Model&format=SafeTensor,https://civitai.com/models/118992/salvador-dali-sdxl-10-art-style-lora
sdxl_0005,artist,tang_bohu,v10,"Tang Yin (from March 6, 1470 to January 7, 1524), known as Bohu, later changed to Ziwei, and was also known as Liuru Jushi, Taohua Anzhu, Tang Sheng of the State of Lu, and Escaping Zen Immortal Officer. He was born in Wu County, Suzhou Prefecture, Southern Zhili. Famous painter, calligrapher and poet of the Ming Dynasty.",tangbohu style,,https://civitai.com/api/download/models/133732?type=Model&format=SafeTensor,https://civitai.com/models/122748/tang-bohus-painting-style-lora-sdxl-xl
sdxl_0006,artist,makoto_shinkai,v10,"It works primarily for generating landscapes, and does not work well with people. The model was trained on images from Your Name and Weathering With You.",by Makoto Shinkai,,https://civitai.com/api/download/models/131467?type=Model&format=SafeTensor,https://civitai.com/models/120855/makoto-shinkai-style-sdxl-10-lora
sdxl_0007,artist,eduardo_rodriguezcalzado,v10,,,,https://civitai.com/api/download/models/128695?type=Model&format=SafeTensor,https://civitai.com/models/99489?modelVersionId=128695
sdxl_0008,asset,china_dish,v20,,,,https://civitai.com/api/download/models/287903?type=Model&format=SafeTensor,https://civitai.com/models/255392/old-china-style-food
sdxl_0009,background,vn_BacSon_valley,v10,,bacsonvietnam,1.0-1.1,https://civitai.com/api/download/models/178160?type=Model&format=SafeTensor,https://civitai.com/models/158496/bac-son-valley-in-vietnam
sdxl_0010,background,white_background,v10,,with a white background,,https://civitai.com/api/download/models/129692?type=Model&format=SafeTensor,https://civitai.com/models/119388/white-background
sdxl_0011,background,golden_wind_and_palace_chinese,v10,,jinsixiangyun/traditional,0.8-1.0,https://civitai.com/api/download/models/126288?type=Model&format=SafeTensor,https://civitai.com/models/116614?modelVersionId=126288
sdxl_0012,background,dragon_ball_landscapes,,,Land/Desert/Snow/Montains/Namek/Kayoshin/Kami/Karin/Kamehouse/Kaito/Caos/Tournament/Gokuhouse/Gohanhouse/Cellgame/Ship/Time/Capsule/City/Forest/Caramel/Snake,,https://civitai.com/api/download/models/369274?type=Model&format=SafeTensor,https://civitai.com/models/329546?modelVersionId=369274
sdxl_0013,clothes,hanfu_tang,v41R,,hanfu / tang style,,https://civitai.com/api/download/models/135652?type=Model&format=SafeTensor,https://civitai.com/models/120283?modelVersionId=130786
sdxl_0014,clothes,vn_nguyen_dynasty_male_clothing,v10,,aonguthan / ao tac / Vietnamese / holding a fan / headband / official clothe / dragon robe,1,https://civitai.com/api/download/models/910422?type=Model&format=SafeTensor,https://civitai.com/models/814166/vietnam-nguyen-dynasty-male-clothing-sdxl
sdxl_0015,clothes,vn_nhat_binh_aha,v10,,ahanhatbinh clothing/nhat binh clothing/clothes/hat/pants/wide sleeves/long sleeves,0.8,https://civitai.com/api/download/models/130732?type=Model&format=SafeTensor,https://civitai.com/models/120226/aha-nhat-binh-vietnamese-traditional-costume-ao-nhat-binh-nhatbinh-clothing-sdxl-lora
sdxl_0016,design,poster_illustration,v10,,,0.6,https://civitai.com/api/download/models/342756?type=Model&format=SafeTensor,https://civitai.com/models/305273/illustrations-activity-event-poster-style
sdxl_0017,design,mascot_sports,v10,,sport-mascot,1,https://civitai.com/api/download/models/533115?type=Model&format=SafeTensor,https://civitai.com/models/479363/sports-mascots
sdxl_0018,design,logo_by_redmond,v20,,"logoredmaf, logo",,https://civitai.com/api/download/models/177492?type=Model&format=SafeTensor,https://civitai.com/models/124609/logoredmond-logo-lora-for-sd-xl-10
sdxl_0019,design,wooden_model,v10,,woodenmodel,,https://civitai.com/api/download/models/131686?type=Model&format=SafeTensor,https://civitai.com/models/121042/woodenmodel-for-sdxl
sdxl_0020,design,futuristic_house,v08,,,,https://civitai.com/api/download/models/130743?type=Model&format=SafeTensor,https://civitai.com/models/120237/yqxlcrvarchitecture
sdxl_0021,design,futuristic_building,v02,,,,https://civitai.com/api/download/models/130291?type=Model&format=SafeTensor,https://civitai.com/models/119873/v02
sdxl_0022,design,glass_building,v10,,,,https://civitai.com/api/download/models/130962?type=Model&format=SafeTensor,https://civitai.com/models/120439/xsarchisdxl001glass-material-architecture-xl
sdxl_0023,effect,under_water,v10,,under the water/under water/underwater,,https://civitai.com/api/download/models/133722?type=Model&format=SafeTensor,https://civitai.com/models/122740/underwater
sdxl_0024,effect,textured_glass,v10,,textured glass/fluted glass/curved glass,,https://civitai.com/api/download/models/129366?type=Model&format=SafeTensor,https://civitai.com/models/119158/test-textured-glass
sdxl_0025,effect,only_white,v10,This LoRA makes everything as white as possible.,white,,https://civitai.com/api/download/models/134823?type=Model&format=SafeTensor,https://civitai.com/models/123643/only-white-sdxl
sdxl_0026,effect,transparent_shadow,v10,,ladyshadow,0.6-1.0,https://civitai.com/api/download/models/136537?type=Model&format=SafeTensor,https://civitai.com/models/125006/sd-xl10-lora-star-shadow-concept
sdxl_0027,effect,advanced_enhancer,v20,"An ideological continuation of Advanced Enhancer. It does the same thing, but the main focus is not on detail (because SDXL is fine with that), but on composition, color, perspective, etc.",movie still/film still/cinematic/cinematic shot/cinematic lighting/macro shot/35mm film/close up/{color} eyes,,https://civitai.com/api/download/models/143146?type=Model&format=SafeTensor,https://civitai.com/models/124993/advanced-enhancer-xl-lora
sdxl_0028,skin,dragon_alike,v10,,DTstyle,,https://civitai.com/api/download/models/129363?type=Model&format=SafeTensor,https://civitai.com/models/119157/sdxl-dragon-style
sdxl_0029,skin,perfect_eyes,v10,,perfecteyes/close up/{color} eyes/heterchromia,,https://civitai.com/api/download/models/128461?type=Model&format=SafeTensor,https://civitai.com/models/118427/perfect-eyes-xl
sdxl_0030,skin,flaming_object,v10,,flmngprsn,,https://civitai.com/api/download/models/129693?type=Model&format=SafeTensor,https://civitai.com/models/119389/concept-flaming-objects
sdxl_0031,style,caricature_art,v20,,caricature,0.8,https://civitai.com/api/download/models/348083?type=Model&format=SafeTensor,https://civitai.com/models/181092/caricature-xl
sdxl_0032,style,pixel_art,v11,,,0.9-1.0,https://civitai.com/api/download/models/135931?type=Model&format=SafeTensor,https://civitai.com/models/120096/pixel-art-xl
sdxl_0033,style,glowing_body_painting,v10,,bl4ckl1ghtxl,~0.5,https://civitai.com/api/download/models/128787?type=Model&format=SafeTensor,https://civitai.com/models/118681/blacklight-uv-sdxl-10-art-style-lora
sdxl_0034,style,3d_niji,v20,,,,https://civitai.com/api/download/models/130777?type=Model&format=SafeTensor,https://civitai.com/models/118567?modelVersionId=130777
sdxl_0035,style,claymation,v20,,made-of-clay,,https://civitai.com/api/download/models/207020?type=Model&format=SafeTensor,https://civitai.com/models/181962/doctor-diffusions-claymation-style-lora
sdxl_0036,style,illustration_chinese,,,guofeng/chinese style,,https://civitai.com/api/download/models/130709?type=Model&format=SafeTensor,https://civitai.com/models/120206/sdxlchinese-style-illustration
sdxl_0037,style,illustration_storybook,v10,,"flower, star, magical",,https://civitai.com/api/download/models/129548?type=Model&format=SafeTensor,https://civitai.com/models/119288/picture-story-book-for-children-xl-xl
sdxl_0038,style,isometric_niji,v10,,zavy-ctsmtrc/isometric,0.8,https://civitai.com/api/download/models/381373?type=Model&format=SafeTensor,https://civitai.com/models/340599/zavys-cute-isometric-tiles-sdxl
sdxl_0039,texture,wood_carving,v10,,wood carving style,,https://civitai.com/api/download/models/133340?type=Model&format=SafeTensor,https://civitai.com/models/122446/sdxl-or-wood-carving-style
sdxl_0040,texture,lego,v21,,LEGO BrickHeadz/LEGO MiniFig/LEGO Creator,0.6-1.0,https://civitai.com/api/download/models/318915?type=Model&format=SafeTensor,https://civitai.com/models/92444/lelo-lego-lora-for-xl-and-sd15
sdxl_0041,texture,cloud_text,v10,,cloud5,,https://civitai.com/api/download/models/159010?type=Model&format=SafeTensor,https://civitai.com/models/143300/cloudtextsdxl
sdxl_0042,texture,cloud_look,v10,,cloud that looks like,,https://civitai.com/api/download/models/156328?type=Model&format=SafeTensor,https://civitai.com/models/141029/aether-cloud-lora-for-sdxl
sdxl_0043,texture,sewing_doll,v20,,BJ_Sewing_doll,0.6-0.7,https://civitai.com/api/download/models/158964?type=Model&format=SafeTensor,https://civitai.com/models/138619?modelVersionId=158964
sdxl_0044,texture,green_jade_cabbage,v10,,jade/jade sculpture,0.7-0.9,https://civitai.com/api/download/models/166089?type=Model&format=SafeTensor,https://civitai.com/models/148809/sdxl-or-jadeite-cabbage-or-chinese-treasure
